asset_id,category,filename,status,tool,model,created_at,prompt_file,source_file,final_file,manual_edits,license,approved_by,notes,sha256
style_reference_master_v001,style-reference,Docs/Style/References/style_reference_master_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/style_reference_master_v001.png,Docs/Style/References/style_reference_master_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/style_reference_master_v001.json;actual=1536x1024,a76fa0236a482930062b584e4f290e2d67ca7be0017cb31f3f0bd5de69fe0e05
chr_player_reference_v001,character-reference,Docs/Style/References/chr_player_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/chr_player_reference_v001.png,Docs/Style/References/chr_player_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/chr_player_reference_v001.json;actual=1536x1024,3116a66e8cbabdb61072bb928573b94d80c26dd14b7b304403b1b6bbf261de15
chr_dasher_reference_v001,character-reference,Docs/Style/References/chr_dasher_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/chr_dasher_reference_v001.png,Docs/Style/References/chr_dasher_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/chr_dasher_reference_v001.json;actual=1536x1024,c81946eaf51bfe90e1c02213964b6aa1b64a17be36817b3b6881b41b30f419d1
chr_archer_reference_v001,character-reference,Docs/Style/References/chr_archer_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/chr_archer_reference_v001.png,Docs/Style/References/chr_archer_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/chr_archer_reference_v001.json;actual=1536x1024,e2f1684d66bdb969a1934cf734a7939c98bcd7f5af71a32c4de51fea349bb1c8
chr_minion_reference_v001,character-reference,Docs/Style/References/chr_minion_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/chr_minion_reference_v001.png,Docs/Style/References/chr_minion_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/chr_minion_reference_v001.json;actual=1536x1024,6e9b05431381a9bcf461d960d3bd8f444149145f3b23cf75a562f7aad3267e93
chr_relative_scale_v001,character-scale-reference,Docs/Style/References/chr_relative_scale_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/visual_reference_prompts_v001.json,Docs/Style/References/chr_relative_scale_v001.png,Docs/Style/References/chr_relative_scale_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/chr_relative_scale_v001.json;actual=1536x1024,b1034f9aba76e9034ac6992191121211b0f6d01ad9358e163e18faf332e71cba
vfx_blessings_m1_reference_v001,vfx-reference,Docs/Style/References/vfx_blessings_m1_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/m1_combat_visual_prompts_v001.json,Docs/Style/References/vfx_blessings_m1_reference_v001.png,Docs/Style/References/vfx_blessings_m1_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/vfx_blessings_m1_reference_v001.json;actual=1536x1024,89fec77d5183917e900f34115ee44836570ff818070ef99d81ea85bad5bb705c
vfx_telegraph_m1_reference_v001,telegraph-reference,Docs/Style/References/vfx_telegraph_m1_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/m1_combat_visual_prompts_v001.json,Docs/Style/References/vfx_telegraph_m1_reference_v001.png,Docs/Style/References/vfx_telegraph_m1_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/vfx_telegraph_m1_reference_v001.json;actual=1717x916,17efb7b14ed2f85a6e6de9d3a8022e2730568bad49d65a2fe8db1a6d8b991c9c
env_dungeon_m1_reference_v001,environment-reference,Docs/Style/References/env_dungeon_m1_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/m1_combat_visual_prompts_v001.json,Docs/Style/References/env_dungeon_m1_reference_v001.png,Docs/Style/References/env_dungeon_m1_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/env_dungeon_m1_reference_v001.json;actual=1536x1024,c875ab0e1095f680792884c288f461d8fc9132002ee8b3cb0684643fed08f9ef
ui_m1_reference_v001,ui-reference,Docs/Style/References/ui_m1_reference_v001.png,review-required,god-tibo-imagen 0.3.1,gpt-5.4,2026-07-12,Docs/AI_Usage/prompts/m1_combat_visual_prompts_v001.json,Docs/Style/References/ui_m1_reference_v001.png,Docs/Style/References/ui_m1_reference_v001.png,none,project-generated original pending review,pending-user-review,record=Docs/AI_Usage/generations/ui_m1_reference_v001.json;actual=1536x1024,eb3fd9e803a6230d9d0cc413ef95faba12fe04f6a412e30650fad5c75cde79d6
